data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2017-12-24,201752,1.0,1,1,1,0.6887573,11.481056,0,1,290010820175219109,2022-04-27,0.0,2.0,8710.0,25.4285714285714,64.8735571428572,1,0,0,,,,,,,,,,4
2017-12-17,201751,0.0,0,0,0,0.0,0.0,0,1,290010820175119109,2022-04-27,0.0,0.0,8710.0,24.1666666666667,75.8880666666667,0,0,0,,,,,,,,,,4
2017-12-10,201750,0.0,0,0,0,0.0,0.0,0,1,290010820175019109,2022-04-27,0.0,0.0,8710.0,25.0,73.32395,0,0,0,,,,,,,,,,4
2017-12-03,201749,2.0,2,2,2,0.9779825,22.962112,0,1,290010820174919109,2022-04-27,0.0,19.0,8710.0,26.1666666666667,65.56265,1,0,0,,,,,,,,,,4
2017-11-26,201748,0.0,0,0,0,0.0,0.0,0,1,290010820174819109,2022-04-27,0.0,0.0,8710.0,24.7142857142857,64.6869,0,0,0,,,,,,,,,,4
2017-11-19,201747,0.0,0,0,0,0.0,0.0,0,1,290010820174719109,2022-04-27,0.0,0.0,8710.0,23.5,75.2752333333333,0,0,0,,,,,,,,,,4
2017-11-12,201746,0.0,0,0,0,0.0,0.0,0,1,290010820174619109,2022-04-27,0.0,0.0,8710.0,24.0,64.9335,0,0,0,,,,,,,,,,4
2017-11-05,201745,0.0,0,0,0,0.0,0.0,0,1,290010820174519109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-10-29,201744,0.0,0,0,0,0.0,0.0,0,1,290010820174419109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-10-22,201743,0.0,0,0,0,0.0,0.0,0,1,290010820174319109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-10-15,201742,0.0,0,0,0,0.0,0.0,0,1,290010820174219109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-10-08,201741,0.0,0,0,0,0.0,0.0,0,1,290010820174119109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-10-01,201740,0.0,0,0,0,0.0,0.0,0,1,290010820174019109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-09-24,201739,0.0,0,0,0,0.0,0.0,0,1,290010820173919109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-09-17,201738,0.0,0,0,0,0.0,0.0,0,1,290010820173819109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-09-10,201737,0.0,0,0,0,0.0,0.0,0,1,290010820173719109,2022-04-27,0.0,0.0,8710.0,24.0,,0,0,0,,,,,,,,,,4
2017-09-03,201736,0.0,0,0,0,0.0,0.0,0,1,290010820173619109,2022-04-27,0.0,0.0,8710.0,24.0,57.0,0,0,0,,,,,,,,,,4
2017-08-27,201735,0.0,0,0,0,0.0,0.0,0,1,290010820173519109,2022-04-27,0.0,0.0,8710.0,23.5833333333333,,0,0,0,,,,,,,,,,4
2017-08-20,201734,0.0,0,0,0,0.0,0.0,0,1,290010820173419109,2022-04-27,0.0,0.0,8710.0,23.1666666666667,,0,0,0,,,,,,,,,,4
2017-08-13,201733,0.0,0,0,0,0.0,0.0,0,1,290010820173319109,2022-04-27,0.0,0.0,8710.0,22.75,,0,0,0,,,,,,,,,,4
2017-08-06,201732,0.0,0,0,0,0.0,0.0,0,1,290010820173219109,2022-04-27,0.0,0.0,8710.0,22.3333333333333,,0,0,0,,,,,,,,,,4
2017-07-30,201731,0.0,0,0,0,0.0,0.0,0,1,290010820173119109,2022-04-27,0.0,0.0,8710.0,21.9166666666667,,0,0,0,,,,,,,,,,4
2017-07-23,201730,0.0,0,0,0,0.0,0.0,0,1,290010820173019109,2022-04-27,0.0,0.0,8710.0,21.5,,0,0,0,,,,,,,,,,4
2017-07-16,201729,0.0,0,0,0,0.0,0.0,0,1,290010820172919109,2022-04-27,0.0,0.0,8710.0,21.0833333333333,,0,0,0,,,,,,,,,,4
2017-07-09,201728,0.0,0,0,0,0.0,0.0,0,1,290010820172819109,2022-04-27,0.0,0.0,8710.0,20.6666666666667,,0,0,0,,,,,,,,,,4
2017-07-02,201727,0.0,0,0,0,0.0,0.0,0,1,290010820172719109,2022-04-27,0.0,0.0,8710.0,20.25,,0,0,0,,,,,,,,,,4
2017-06-25,201726,0.0,0,0,0,0.0,0.0,0,1,290010820172619109,2022-04-27,0.0,0.0,8710.0,19.8333333333333,,0,0,0,,,,,,,,,,4
2017-06-18,201725,0.0,0,0,0,0.0,0.0,0,1,290010820172519109,2022-04-27,0.0,0.0,8710.0,19.4166666666667,,0,0,0,,,,,,,,,,4
2017-06-11,201724,0.0,0,0,0,0.0,0.0,0,1,290010820172419109,2022-04-27,0.0,0.0,8710.0,19.0,94.0,0,0,0,,,,,,,,,,4
2017-06-04,201723,0.0,0,0,0,0.0,0.0,0,1,290010820172319109,2022-04-27,0.0,0.0,8710.0,19.75,,0,0,0,,,,,,,,,,4
2017-05-28,201722,0.0,0,0,0,0.0,0.0,0,1,290010820172219109,2022-04-27,0.0,0.0,8710.0,20.5,,0,0,0,,,,,,,,,,4
2017-05-21,201721,0.0,0,0,0,0.0,0.0,0,1,290010820172119109,2022-04-27,0.0,0.0,8710.0,21.25,,0,0,0,,,,,,,,,,4
2017-05-14,201720,0.0,0,0,0,0.0,0.0,0,1,290010820172019109,2022-04-27,0.0,0.0,8710.0,22.0,88.0,0,0,0,,,,,,,,,,4
2017-05-07,201719,0.0,0,0,0,0.0,0.0,0,1,290010820171919109,2022-04-27,0.0,0.0,8710.0,28.0,48.0,0,0,0,,,,,,,,,,4
2017-04-30,201718,0.0,0,0,0,0.0,0.0,0,1,290010820171819109,2022-04-27,0.0,0.0,8710.0,23.0,100.0,0,0,0,,,,,,,,,,4
2017-04-23,201717,0.0,0,0,0,0.0,0.0,0,1,290010820171719109,2022-04-27,0.0,0.0,8710.0,27.0,74.0,0,0,0,,,,,,,,,,4
2017-04-16,201716,0.0,0,0,0,0.0,0.0,0,1,290010820171619109,2022-04-27,0.0,0.0,8710.0,24.0,78.0,0,0,0,,,,,,,,,,4
2017-04-09,201715,1.0,1,1,1,0.9632679,11.481056,0,1,290010820171519109,2022-04-27,0.0,19.0,8710.0,28.0,63.5,1,0,0,,,,,,,,,,4
2017-04-02,201714,0.0,0,0,0,0.5,0.0,0,1,290010820171419109,2022-04-27,0.0,0.0,8710.0,25.0,69.0,0,0,0,,,,,,,,,,4
2017-03-26,201713,0.0,0,0,0,0.5,0.0,0,1,290010820171319109,2022-04-27,0.0,0.0,8710.0,25.0,94.0,0,0,0,,,,,,,,,,4
2017-03-19,201712,0.0,0,0,0,0.5,0.0,0,1,290010820171219109,2022-04-27,0.0,0.0,8710.0,25.0,74.0,0,0,0,,,,,,,,,,4
2017-03-12,201711,0.0,0,0,0,0.5,0.0,0,1,290010820171119109,2022-04-27,0.0,0.0,8710.0,27.0,70.0,0,0,0,,,,,,,,,,4
2017-03-05,201710,0.0,0,0,0,0.5,0.0,0,1,290010820171019109,2022-04-27,0.0,0.0,8710.0,25.0,61.0,0,0,0,,,,,,,,,,4
2017-02-26,201709,0.0,0,0,0,0.5,0.0,0,1,290010820170919109,2022-04-27,0.0,0.0,8710.0,25.0,61.0,0,0,0,,,,,,,,,,4
2017-02-19,201708,0.0,0,0,0,0.5,0.0,0,1,290010820170819109,2022-04-27,0.0,0.0,8710.0,24.0,69.0,0,0,0,,,,,,,,,,4
2017-02-12,201707,0.0,0,0,0,0.5,0.0,0,1,290010820170719109,2022-04-27,0.0,0.0,8710.0,30.0,51.0,0,0,0,,,,,,,,,,4
2017-02-05,201706,0.0,0,0,0,0.5,0.0,0,1,290010820170619109,2022-04-27,0.0,0.0,8710.0,27.0,61.0,0,0,0,,,,,,,,,,4
2017-01-29,201705,0.0,0,0,0,0.5,0.0,0,1,290010820170519109,2022-04-27,0.0,0.0,8710.0,27.0,61.0,0,0,0,,,,,,,,,,4
2017-01-22,201704,0.0,0,0,0,0.5,0.0,0,1,290010820170419109,2022-04-27,0.0,0.0,8710.0,29.5,52.0,0,0,0,,,,,,,,,,4
2017-01-15,201703,0.0,0,0,0,0.5,0.0,0,1,290010820170319109,2022-04-27,0.0,0.0,8710.0,26.5,63.5,0,0,0,,,,,,,,,,4
