id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1100015,2020,570272326,35109445,535162881,203394419,20716398,150192434,16085963
1100023,2020,2818048618,295655675,2522392943,19972271,404751757,1207405068,710513407
1100031,2020,167189811,7236636,159953175,81177101,5438033,28666966,44671074
1100049,2020,2519352677,274450529,2244902148,236214952,275536823,1157343983,575806391
1100056,2020,600670074,89923146,510746929,94757639,2358233,276755106,115651854
1100064,2020,366930664,24074724,342855939,88922637,24321934,118528927,111082442
1100072,2020,268380612,10199526,258181086,155647734,10847324,34749002,56937026
1100080,2020,261978244,9276309,252701935,80683532,6205426,48318216,117494761
1100098,2020,666330792,58284551,60804624,137801664,54520522,213512831,202211223
1100106,2020,984586158,139461341,845124818,59384459,41650073,443004732,301085555
1100114,2020,1665068252,18900638,1476061872,223880991,195776026,712461178,343943677
1100122,2020,4057626427,566032031,3491594396,155960875,589530578,1950006848,796096094
1100130,2020,700317164,35830328,664486836,226106228,35782308,150365499,252232801
1100148,2020,403369814,26897714,3764721,123270059,22560662,100805519,129835859
1100155,2020,88519283,67732789,817460041,163407384,88619198,330930674,234502785
1100189,2020,1361242673,232765577,1128477096,125229046,225648817,515002214,262597019
1100205,2020,19448762109,2257211975,17191550135,797347601,4978615476,7774205524,3641381534
1100254,2020,464219156,41374143,422845013,121355434,41018503,134878452,125592624
1100262,2020,133580494,4545338,129035157,76393743,5251133,13634017,33756264
1100288,2020,1397881252,138700868,1259180385,11833014,18653172,58431961,369998915
1100296,2020,156788517,6030495,150758022,61497058,11981571,28825567,48453826
1100304,2020,3152999703,443953617,2709046086,179259884,392170482,1439934583,697681137
1100320,2020,73069476,47041881,683652879,257601474,93117958,169665505,163267943
1100338,2020,601909567,23738497,57817107,25081814,21298702,110480071,195574157
1100346,2020,289533292,11757996,277775296,101028515,13165692,64862706,98718383
1100379,2020,324544283,13222695,311321588,156818275,134228,48774543,9230597
1100403,2020,396377209,21479561,374897647,121183172,19894149,9986364,133956687
1100452,2020,7816244,55507882,726116518,219629988,34033626,225555642,246897263
1100502,2020,18510013,8588956,176511174,70113961,10961936,37543487,57891791
1100601,2020,169163677,4775776,164387901,97061742,2796812,20476869,44052478
1100700,2020,331933371,8207887,323725485,155952137,40072282,30129862,97571203
1100809,2020,563099662,26207659,536892003,102418852,124977312,124050288,185445551
1100908,2020,8041541,2232158,78183252,40902483,1859037,809469,27327042
1100924,2020,374880265,19855774,355024491,141099944,63350678,60115288,90458581
1100940,2020,431848864,19011752,412837111,12841277,48865953,7462933,160929058
1101005,2020,200590283,5619849,194970434,117189029,4107458,19027231,54646716
1101104,2020,192782582,9900307,182882275,51082127,22890011,38131921,70778215
1101203,2020,224922094,15662937,209259156,81827725,11661027,51707389,64063016
1101302,2020,231692452,11912166,219780286,72925426,14656318,62787763,6941078
1101401,2020,3409511,15014119,325936981,114121048,36279041,67991516,107545376
1101435,2020,12883884,4414194,124424647,61086315,2705568,15015271,45617493
